Num_Acc,annee,mois,jour,hrmn,éclairage,agglomeration,intersection,meteo,collision,commune,adresse,lat,long,departement,categorie_route,circulation,nombre_voies,voie_speciale,denivele,plan,largeur_terplein_central,largeur_route,surface,infra,situation,sens_circulation,obstacle_fixe,obstacle_mobile,sens_choc,manoeuvre,num_veh,place,gravite,sexe,trajet,localisation_pieton,action_pieton,annee_naissance,secu1,vitesse_max,secu2,secu3,motorisation,heure,date,age
201600003655,2016,7,27,09:00:00,Plein jour,En agglomération,Giratoire,Normale,Deux véhicules – par l’arrière,205,rd 63,43.70464,1.37668,31,Route Départementale,A sens unique,1.0,Sans objet,Plat,Pente,0.0,85.0,Normale,Carrefour aménagé,Sur chaussée,Inconnu,Sans objet,Aucun,Arrière,Tournant à droite,B,1,Blessé léger,Féminin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1974.0,Casque,,Non renseigné,Non renseigné,Non renseigné,9,2016-07-27,42.0
201600003656,2016,7,20,10:30:00,Plein jour,Hors agglomération,Hors intersection,Normale,Deux véhicules - frontale,136,,0.0,0.0,31,Route Départementale,Bidirectionnelle,2.0,Sans objet,Sommet de côte,Sommet de côte,0.0,60.0,Normale,Aucun,Sur chaussée,PK ou PR ou numéro d’adresse postale décroissant,Sans objet,Aucun,Arrière,Sans changement de direction,B,1,Blessé hospitalisé,Masculin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1935.0,Casque,,Non renseigné,Non renseigné,Non renseigné,10,2016-07-20,81.0
201600003663,2016,9,25,00:15:00,Nuit sans éclairage public,En agglomération,Hors intersection,Normale,Autre collision,94,Avenue Jean David,43.77794,1.63437,31,Voie Communale,Bidirectionnelle,2.0,Sans objet,Non renseigné,Plat,0.0,0.0,Normale,Aucun,Aucun,Inconnu,Sans objet,Aucun,Aucun,Sans changement de direction,A,1,Blessé hospitalisé,Masculin,Domicile - travail,Sans objet,Non renseigné ou sans objet,1964.0,Non renseigné,,Non renseigné,Non renseigné,Non renseigné,0,2016-09-25,52.0
201600003671,2016,5,1,08:15:00,Plein jour,Hors agglomération,Giratoire,Normale,Deux véhicules - frontale,395,route d'eaunes,43.45074,1.33559,31,Route Départementale,Bidirectionnelle,0.0,Sans objet,Non renseigné,Non renseigné,0.0,0.0,Autre,Carrefour aménagé,Aucun,Inconnu,Sans objet,Aucun,Aucun,Inconnue,B,1,Blessé hospitalisé,Masculin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1966.0,Casque,,Non renseigné,Non renseigné,Non renseigné,8,2016-05-01,50.0
201600003701,2016,9,10,11:00:00,Plein jour,En agglomération,Hors intersection,Normale,Deux véhicules – par le coté,107,34Place de la République,43.29719,1.22474,31,Voie Communale,Bidirectionnelle,2.0,Sans objet,Plat,Plat,0.0,86.0,Normale,Aucun,Sur chaussée,Inconnu,Sans objet,Véhicule,Avant gauche,Sans changement de direction,B,1,Blessé hospitalisé,Féminin,Courses - achats,Sans objet,Non renseigné ou sans objet,1943.0,Non renseigné,,Non renseigné,Non renseigné,Non renseigné,11,2016-09-10,73.0
201600003731,2016,3,25,18:45:00,Plein jour,Hors agglomération,Autre intersection,Normale,Deux véhicules – par le coté,396,ave françois mitterrand,43.35908,1.63599,31,Route Départementale,Bidirectionnelle,0.0,Sans objet,Non renseigné,Plat,0.0,0.0,Normale,Carrefour aménagé,Sur chaussée,Inconnu,Sans objet,Véhicule,Avant,Sans changement de direction,B,1,Blessé hospitalisé,Féminin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1983.0,Non renseigné,,Non renseigné,Non renseigné,Non renseigné,18,2016-03-25,33.0
201600003737,2016,8,12,18:15:00,Plein jour,Hors agglomération,Intersection en T,Temps éblouissant,Deux véhicules - frontale,210,ave lauragais/république,43.39073,1.68409,31,Route Départementale,Bidirectionnelle,0.0,Sans objet,Bas de côte,Plat,0.0,51.0,Autre,Aucun,Sur chaussée,Inconnu,Sans objet,Véhicule,Côté gauche,Traversant la chaussée,B,1,Blessé hospitalisé,Masculin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1998.0,Casque,,Non renseigné,Non renseigné,Non renseigné,18,2016-08-12,18.0
201600003741,2016,8,6,11:15:00,Plein jour,Hors agglomération,Hors intersection,Normale,Deux véhicules - frontale,478,,43.45518,1.8969,31,Route Départementale,Non renseigné,1.0,Sans objet,Bas de côte,Sommet de côte,0.0,44.0,Normale,Aucun,Sur chaussée,PK ou PR ou numéro d’adresse postale croissant,Sans objet,Véhicule,Aucun,Sans changement de direction,B,1,Blessé hospitalisé,Masculin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,2001.0,Non renseigné,,Non renseigné,Non renseigné,Non renseigné,11,2016-08-06,15.0
201600003742,2016,3,18,16:45:00,Plein jour,Hors agglomération,Intersection en X,Normale,Deux véhicules – par le coté,240,D19/CH DE LA LYRGUE,43.41818,1.50054,31,Route Départementale,Bidirectionnelle,2.0,Sans objet,Plat,Plat,0.0,61.0,Normale,Carrefour aménagé,Sur chaussée,PK ou PR ou numéro d’adresse postale décroissant,Sans objet,Véhicule,Avant,Sans changement de direction,B,1,Blessé hospitalisé,Masculin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1981.0,Casque,,Non renseigné,Non renseigné,Non renseigné,16,2016-03-18,35.0
201600012054,2016,2,6,13:30:00,Plein jour,Hors agglomération,Hors intersection,Vent fort - tempête,Deux véhicules - frontale,254,la lauragaise,43.5508,1.51061,31,Route Départementale,Non renseigné,2.0,Sans objet,Non renseigné,Plat,20.0,60.0,Normale,Aucun,Sur trottoir,PK ou PR ou numéro d’adresse postale croissant,Sans objet,Véhicule,Avant gauche,Sans changement de direction,B,1,Blessé hospitalisé,Masculin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1941.0,Casque,,Non renseigné,Non renseigné,Non renseigné,13,2016-02-06,75.0
201600018104,2016,11,28,23:30:00,Nuit sans éclairage public,Hors agglomération,Hors intersection,Autre,Deux véhicules – par l’arrière,89,RD1,43.70967,1.18804,31,Route Départementale,Bidirectionnelle,2.0,Sans objet,Plat,Plat,0.0,0.0,Autre,Aucun,Sur chaussée,Inconnu,Sans objet,Véhicule,Arrière,Sans changement de direction,A,1,Blessé léger,Masculin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1999.0,Non renseigné,,Non renseigné,Non renseigné,Non renseigné,23,2016-11-28,17.0
201600018118,2016,11,22,18:10:00,Nuit avec éclairage public allumé,En agglomération,Giratoire,Pluie légère,Deux véhicules – par le coté,107,D627,43.31005,1.22231,31,Route Départementale,Bidirectionnelle,2.0,Piste cyclable,Plat,Sommet de côte,10.0,41.0,Mouillée,Carrefour aménagé,Sur piste cyclable,PK ou PR ou numéro d’adresse postale décroissant,Sans objet,Véhicule,Avant droit,En franchissant le terre-plein central,B,1,Blessé hospitalisé,Féminin,Domicile - école,Sans objet,Non renseigné ou sans objet,2001.0,Gilet réfléchissant,,Non renseigné,Non renseigné,Non renseigné,18,2016-11-22,15.0
201600018124,2016,2,6,13:15:00,Plein jour,Hors agglomération,Intersection en T,Vent fort - tempête,Autre collision,292,,0.0,0.0,31,Route Départementale,Bidirectionnelle,2.0,Sans objet,Plat,Plat,62.0,65.0,Normale,Carrefour aménagé,Sur chaussée,PK ou PR ou numéro d’adresse postale croissant,Sans objet,Véhicule,Côté gauche,Sans changement de direction,A,1,Blessé hospitalisé,Masculin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1944.0,Casque,,Non renseigné,Non renseigné,Non renseigné,13,2016-02-06,72.0
201600018129,2016,12,1,17:05:00,Plein jour,Hors agglomération,Intersection en T,Normale,Deux véhicules – par le coté,481,Route départementale 7,43.48838,1.14773,31,Route Départementale,Bidirectionnelle,2.0,Sans objet,Bas de côte,Non renseigné,6.0,510.0,Normale,Non renseigné,Non renseigné,PK ou PR ou numéro d’adresse postale croissant,Sans objet,Véhicule,Avant,Sans changement de direction,B,1,Blessé hospitalisé,Masculin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1958.0,Non renseigné,,Non renseigné,Non renseigné,Non renseigné,17,2016-12-01,58.0
201600018131,2016,11,24,13:45:00,Plein jour,En agglomération,Intersection à plus de 4 branches,Temps éblouissant,Deux véhicules – par le coté,42,boulevard charles de gau,42.79517,0.59615,31,Route Départementale,Bidirectionnelle,2.0,Sans objet,Plat,Non renseigné,0.0,15.0,Normale,Non renseigné,Non renseigné,Inconnu,Sans objet,Aucun,Arrière gauche,Sans changement de direction,B,1,Blessé léger,Masculin,Non renseigné,Sans objet,Non renseigné ou sans objet,2002.0,Gilet réfléchissant,,Non renseigné,Non renseigné,Non renseigné,13,2016-11-24,14.0
201600019112,2016,1,20,14:00:00,Plein jour,Hors agglomération,Giratoire,Normale,Deux véhicules – par le coté,56,rond point garossos,43.66425,1.36059,31,Route Départementale,A sens unique,2.0,Piste cyclable,Plat,Plat,0.0,60.0,Normale,Aucun,Sur chaussée,Inconnu,Sans objet,Aucun,Côté gauche,Traversant la chaussée,B,1,Blessé léger,Masculin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1980.0,Non renseigné,,Non renseigné,Non renseigné,Non renseigné,14,2016-01-20,36.0
201600019123,2016,11,8,17:35:00,Nuit sans éclairage public,En agglomération,Hors intersection,Normale,Deux véhicules – par le coté,32,chemin du castelet,43.67923,1.31938,31,Voie Communale,Bidirectionnelle,2.0,Sans objet,Pente,Plat,0.0,70.0,Normale,Aucun,Sur chaussée,Inconnu,Sans objet,Véhicule,Avant,Sans changement de direction,A,1,Blessé léger,Masculin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,2005.0,Non renseigné,,Non renseigné,Non renseigné,Non renseigné,17,2016-11-08,11.0
201600019563,2016,5,10,18:45:00,Plein jour,En agglomération,Hors intersection,Normale,Deux véhicules - frontale,588,76 boulevard des écoles,43.52969,1.32906,31,Voie Communale,Bidirectionnelle,2.0,Piste cyclable,Plat,Plat,0.0,60.0,Normale,Zone de péage,Sur piste cyclable,Inconnu,Sans objet,Véhicule,Côté gauche,Sans changement de direction,B,1,Blessé hospitalisé,Féminin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1952.0,Non renseigné,,Non renseigné,Non renseigné,Non renseigné,18,2016-05-10,64.0
201600022649,2016,6,15,12:00:00,Plein jour,En agglomération,Hors intersection,Normale,Sans collision,483,"01, SAINT PLANCARD ( AVE",43.11515,0.70618,31,Route Départementale,Non renseigné,0.0,Sans objet,Plat,Plat,0.0,0.0,Normale,Aucun,Aucun,PK ou PR ou numéro d’adresse postale croissant,Sans objet,Aucun,Aucun,Inconnue,A,1,Blessé hospitalisé,Masculin,Non renseigné,Sans objet,Non renseigné ou sans objet,1953.0,Casque,,Non renseigné,Non renseigné,Non renseigné,12,2016-06-15,63.0
201600022652,2016,6,24,12:10:00,Plein jour,En agglomération,Intersection en Y,Normale,Deux véhicules – par le coté,483,POZZI CHARLES ( RUE),0,0,31,Voie Communale,Bidirectionnelle,1.0,Sans objet,Pente,Pente,0.0,40.0,Normale,Aucun,Sur chaussée,PK ou PR ou numéro d’adresse postale décroissant,Sans objet,Véhicule,Arrière,Tournant à droite,B,1,Blessé léger,Masculin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1968.0,Casque,,Non renseigné,Non renseigné,Non renseigné,12,2016-06-24,48.0
201600022681,2016,1,11,14:50:00,Plein jour,En agglomération,Intersection en T,Normale,Deux véhicules – par le coté,149,"73, ROUERGUE (ALLEE DU)",43.60949,1.32989,31,Voie Communale,Non renseigné,1.0,Non renseigné,Non renseigné,Non renseigné,0.0,1,Normale,Non renseigné,Sur chaussée,Inconnu,Sans objet,Aucun,Aucun,Inconnue,A,1,Blessé léger,Féminin,Non renseigné,Sans objet,Non renseigné ou sans objet,1964.0,Casque,,Non renseigné,Non renseigné,Non renseigné,14,2016-01-11,52.0
201600022683,2016,1,12,07:30:00,Nuit avec éclairage public allumé,En agglomération,Hors intersection,Pluie légère,Deux véhicules - frontale,555,"999, BOULINGRIN (ROND PO",43.59475,1.45296,31,Voie Communale,A sens unique,2.0,Piste cyclable,Plat,Pente,0.0,0.0,Mouillée,Aucun,Sur chaussée,Inconnu,Sans objet,Véhicule,Côté droit,Inconnue,B,1,Blessé léger,Masculin,Domicile - travail,Sans objet,Non renseigné ou sans objet,1986.0,Casque,,Non renseigné,Non renseigné,Non renseigné,7,2016-01-12,30.0
201600022687,2016,1,13,12:35:00,Plein jour,En agglomération,Hors intersection,Normale,Deux véhicules – par le coté,555,"156, AV RAYMOND NAVES",0,0,31,Voie Communale,Bidirectionnelle,2.0,Sans objet,Pente,Plat,0.0,0.0,Normale,Aucun,Sur chaussée,Inconnu,Sans objet,Véhicule,Aucun,Inconnue,B,1,Blessé léger,Féminin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1971.0,Non renseigné,,Non renseigné,Non renseigné,Non renseigné,12,2016-01-13,45.0
201600022690,2016,1,13,13:00:00,Plein jour,En agglomération,Intersection en X,Normale,Deux véhicules - frontale,557,FOURNOLIS (CH DE),43.58973,1.31709,31,Voie Communale,Non renseigné,1.0,Non renseigné,Non renseigné,Non renseigné,0.0,1,Non renseigné,Non renseigné,Sur chaussée,Inconnu,Sans objet,Véhicule,Avant,Inconnue,B,1,Blessé léger,Masculin,Utilisation professionnelle,Sans objet,Non renseigné ou sans objet,1980.0,Casque,,Non renseigné,Non renseigné,Non renseigné,13,2016-01-13,36.0
201600022693,2016,1,15,19:40:00,Crépuscule ou aube,En agglomération,Hors intersection,Normale,Deux véhicules – par l’arrière,555,"5, PL DU PDT THOMAS WILS",0,0,31,Voie Communale,A sens unique,0.0,Sans objet,Plat,Pente,0.0,0.0,Autre,Aucun,Sur chaussée,Inconnu,Sans objet,Véhicule,Avant,Inconnue,B,1,Blessé léger,Féminin,Non renseigné,Sans objet,Non renseigné ou sans objet,1986.0,Non renseigné,,Non renseigné,Non renseigné,Non renseigné,19,2016-01-15,30.0
201600022701,2016,1,15,17:15:00,Plein jour,En agglomération,Hors intersection,Normale,Deux véhicules – par le coté,557,DUNANT (RD-PT HENRI),43.5785,1.35172,31,Voie Communale,Non renseigné,0.0,Piste cyclable,Non renseigné,Sommet de côte,0.0,0.0,Autre,Aucun,Sur piste cyclable,Inconnu,Sans objet,Véhicule,Aucun,Inconnue,B,1,Blessé léger,Masculin,Non renseigné,Sans objet,Non renseigné ou sans objet,1960.0,Non renseigné,,Non renseigné,Non renseigné,Non renseigné,17,2016-01-15,56.0
201600022703,2016,1,19,09:45:00,Plein jour,En agglomération,Hors intersection,Pluie légère,Autre collision,555,"4, ALSACE LORRAINE (RUE",0,0,31,Voie Communale,A sens unique,1.0,Sans objet,Plat,Plat,0.0,0.0,Mouillée,Aucun,Sur chaussée,Inconnu,Sans objet,Piéton,Aucun,Inconnue,B,1,Indemne,Masculin,Non renseigné,Sans objet,Non renseigné ou sans objet,1976.0,Non renseigné,,Non renseigné,Non renseigné,Non renseigné,9,2016-01-19,40.0
201600022703,2016,1,19,09:45:00,Plein jour,En agglomération,Hors intersection,Pluie légère,Autre collision,555,"4, ALSACE LORRAINE (RUE",0,0,31,Voie Communale,A sens unique,1.0,Sans objet,Plat,Plat,0.0,0.0,Mouillée,Aucun,Sur chaussée,Inconnu,Sans objet,Piéton,Aucun,Inconnue,B,3,Blessé léger,Masculin,Non renseigné,Sans objet,Traversant,1937.0,Non renseigné,,Non renseigné,Non renseigné,Non renseigné,9,2016-01-19,79.0
201600022714,2016,1,24,14:00:00,Plein jour,En agglomération,Hors intersection,Normale,Deux véhicules – par le coté,555,AV MAURICE HAURIOU,0,0,31,Voie Communale,A sens unique,1.0,Sans objet,Plat,Plat,0.0,42.0,Normale,Aucun,Sur chaussée,Inconnu,Sans objet,Véhicule,Côté gauche,Traversant la chaussée,B,1,Blessé léger,Féminin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1960.0,Non renseigné,,Non renseigné,Non renseigné,Non renseigné,14,2016-01-24,56.0
201600022734,2016,2,5,14:20:00,Plein jour,En agglomération,Hors intersection,Normale,Deux véhicules – par le coté,555,"999, BD D ARCOLE",0,0,31,Voie Communale,A sens unique,2.0,Sans objet,Plat,Plat,0.0,0.0,Normale,Aucun,Sur chaussée,Inconnu,Sans objet,Aucun,Aucun,Inconnue,A,1,Blessé léger,Féminin,Non renseigné,Sans objet,Non renseigné ou sans objet,1955.0,Non renseigné,,Non renseigné,Non renseigné,Non renseigné,14,2016-02-05,61.0
201600022747,2016,2,10,13:05:00,Plein jour,En agglomération,Giratoire,Pluie forte,Deux véhicules – par l’arrière,69,GRENADE (ROUTE DE),43.63732,1.39051,31,Route Départementale,Non renseigné,0.0,Sans objet,Plat,Bas de côte,0.0,0.0,Mouillée,Aucun,Sur chaussée,Inconnu,Sans objet,Véhicule,Aucun,Inconnue,B,1,Indemne,Féminin,Non renseigné,Sans objet,Non renseigné ou sans objet,1958.0,Casque,,Non renseigné,Non renseigné,Non renseigné,13,2016-02-10,58.0
201600022748,2016,2,13,11:40:00,Plein jour,En agglomération,Hors intersection,Normale,Deux véhicules – par le coté,557,DUNANT (RD-PT HENRI),43.5785,1.35156,31,Voie Communale,A sens unique,0.0,Piste cyclable,Plat,Non renseigné,0.0,0.0,Normale,Aucun,Sur chaussée,Inconnu,Sans objet,Véhicule,Côté droit,Inconnue,B,1,Blessé léger,Masculin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1969.0,Non renseigné,,Non renseigné,Non renseigné,Non renseigné,11,2016-02-13,47.0
201600022748,2016,2,13,11:40:00,Plein jour,En agglomération,Hors intersection,Normale,Deux véhicules – par le coté,557,DUNANT (RD-PT HENRI),43.5785,1.35156,31,Voie Communale,A sens unique,0.0,Piste cyclable,Plat,Non renseigné,0.0,0.0,Normale,Aucun,Sur chaussée,Inconnu,Sans objet,Véhicule,Côté droit,Inconnue,B,2,Blessé léger,Masculin,Non renseigné,Sans objet,Non renseigné ou sans objet,2013.0,Non renseigné,,Non renseigné,Non renseigné,Non renseigné,11,2016-02-13,3.0
201600022749,2016,2,15,17:00:00,Plein jour,En agglomération,Hors intersection,Normale,Deux véhicules – par le coté,557,PETIT TRAIN (RUE DU,43.57861,1.3241,31,Voie Communale,Bidirectionnelle,0.0,Piste cyclable,Plat,Non renseigné,0.0,0.0,Normale,Aucun,Sur chaussée,Inconnu,Sans objet,Véhicule,Avant,Inconnue,B,1,Blessé léger,Masculin,Domicile - école,Sans objet,Non renseigné ou sans objet,2003.0,Non renseigné,,Non renseigné,Non renseigné,Non renseigné,17,2016-02-15,13.0
201600022753,2016,2,19,17:20:00,Plein jour,En agglomération,Intersection en T,Temps éblouissant,Deux véhicules – par le coté,69,SERVANTY (AV LUCIEN),43.6248,1.39249,31,Route Départementale,A sens unique,1.0,Piste cyclable,Plat,Plat,0.0,0.0,Normale,Aucun,Sur chaussée,Inconnu,Sans objet,Aucun,Aucun,Inconnue,B,1,Blessé hospitalisé,Masculin,Non renseigné,Sans objet,Non renseigné ou sans objet,1984.0,Casque,,Non renseigné,Non renseigné,Non renseigné,17,2016-02-19,32.0
201600022760,2016,2,27,09:50:00,Plein jour,En agglomération,Intersection en X,Pluie forte,Deux véhicules – par le coté,555,"4, RUE DE METZ",0,0,31,Voie Communale,A sens unique,1.0,Sans objet,Plat,Plat,0.0,0.0,Mouillée,Aucun,Sur chaussée,Inconnu,Sans objet,Véhicule,Avant,Sans changement de direction,A,1,Blessé léger,Masculin,Non renseigné,Sans objet,Non renseigné ou sans objet,1977.0,Non renseigné,,Non renseigné,Non renseigné,Non renseigné,9,2016-02-27,39.0
201600022763,2016,2,29,18:50:00,Crépuscule ou aube,En agglomération,Hors intersection,Normale,Deux véhicules – par le coté,557,"277, RAMELET MOUNDI (CH",43.5783,1.35292,31,Route Départementale,Bidirectionnelle,2.0,Sans objet,Plat,Plat,0.0,0.0,Normale,Aucun,Sur chaussée,Inconnu,Sans objet,Véhicule,Avant,Inconnue,A,1,Blessé léger,Masculin,Domicile - travail,Sans objet,Non renseigné ou sans objet,1960.0,Non renseigné,,Non renseigné,Non renseigné,Non renseigné,18,2016-02-29,56.0
201600022781,2016,3,8,20:00:00,Nuit avec éclairage public allumé,En agglomération,Hors intersection,Normale,Deux véhicules – par le coté,555,"999, AV DES MINIMES",0,0,31,Voie Communale,Bidirectionnelle,6.0,Piste cyclable,Plat,Plat,0.0,208.0,Normale,Aucun,Sur chaussée,PK ou PR ou numéro d’adresse postale croissant,Sans objet,Véhicule,Arrière,Déporté à gauche,B,1,Blessé léger,Masculin,Promenade - loisirs,Sans objet,Non renseigné ou sans objet,1931.0,Non renseigné,,Non renseigné,Non renseigné,Non renseigné,20,2016-03-08,85.0
201600022783,2016,3,10,09:10:00,Plein jour,En agglomération,Giratoire,Normale,Deux véhicules – par le coté,69,MAGA (RD-PT JEAN),43.62206,1.39589,31,Voie Communale,A sens unique,0.0,Sans objet,Non renseigné,Non renseigné,0.0,0.0,Normale,Aucun,Aucun,Inconnu,Sans objet,Véhicule,Avant droit,Inconnue,B,1,Blessé léger,Féminin,Domicile - travail,Sans objet,Non renseigné ou sans objet,1974.0,Casque,,Non renseigné,Non renseigné,Non renseigné,9,2016-03-10,42.0
201600022786,2016,3,11,18:30:00,Plein jour,En agglomération,Giratoire,Normale,Deux véhicules – par le coté,149,RP FONTAINE LUMINEUSE,43.60933,1.35265,31,Voie Communale,A sens unique,2.0,Sans objet,Plat,Non renseigné,0.0,0.0,Normale,Aucun,Sur chaussée,Inconnu,Sans objet,Véhicule,Avant,Sans changement de direction,B,1,Blessé léger,Masculin,Domicile - travail,Sans objet,Non renseigné ou sans objet,1987.0,Casque,,Non renseigné,Non renseigné,Non renseigné,18,2016-03-11,29.0
